name,Description,Test Type,Remote Testing,Adaptive/IRT,Job Levels,Languages,Assessment Length,url
Account Manager Solution,"The Account Manager solution is an assessment used for job candidates applying to mid-level leadership positions that tend to manage the day-to-day operations and activities of client accounts. Sample tasks include communicating with clients, managing project plans, coordinating internally, and meeting client expectations. Job titles include Account Executive, Account Manager, and Senior Account Manager.","Competencies, Ability & Aptitude, Personality & Behavior, Biodata & Situational Judgement",yes,yes,Mid-Professional,English (USA),49,https://www.shl.com/solutions/products/product-catalog/view/account-manager-solution/
Administrative Professional - Short Form,"The Administrative Professional solution is for entry to mid-level positions that involve routine clerical and administrative functions, office management, and customer service. Tasks include arranging calls, drafting correspondence, scheduling, greeting visitors, and coordinating office activities. Job titles include Administrative Assistant, Secretary, Office Manager, Administrative Aide, and Administrative Associate.","Ability & Aptitude, Knowledge & Skills, Personality & Behavior",yes,yes,Entry-Level,English (USA),36,https://www.shl.com/solutions/products/product-catalog/view/administrative-professional-short-form/
Agency Manager Solution,"The Agency Manager solution is for mid-level sales management positions involving front line management and sales responsibilities. Tasks include directing and coordinating financial activities of workers in branches or departments such as banks, brokerage firms, or insurance departments. Job titles include Agency Manager and Brokerage Manager.","Ability & Aptitude, Biodata & Situational Judgement, Personality & Behavior, Simulations",yes,yes,"Front Line Manager, Manager, Supervisor",English (USA),51,https://www.shl.com/solutions/products/product-catalog/view/agency-manager-solution/
Apprentice + 8.0 Job Focused Assessment,"The Apprentice + 8.0 Job-Focused Assessment is a short, targeted, globally applicable assessment including a short cognitive ability test. Designed for entry-level positions in countries and industries using the apprenticeship model. Suitable for multi-national organisations.","Biodata & Situational Judgement, Personality & Behavior",yes,no,"General Population, Graduate, Entry-Level","English International, German",30,https://www.shl.com/solutions/products/product-catalog/view/apprentice-8-0-job-focused-assessment-4261/
Apprentice 8.0 Job Focused Assessment,"The Apprentice 8.0 Job-Focused Assessment is a short, targeted, globally applicable assessment designed for entry-level positions in countries and industries using the apprenticeship model. Suitable for multi-national organizations.","Ability & Aptitude, Biodata & Situational Judgement, Knowledge & Skills, Personality & Behavior",yes,no,"Entry-Level, General Population, Graduate","English International, German, French",20,https://www.shl.com/solutions/products/product-catalog/view/apprentice-8-0-job-focused-assessment/
Bank Administrative Assistant - Short Form,"The Administrative Assistant solution is for entry-level clerical positions involving customer interaction and administrative duties. Tasks include answering phones, managing records, sorting mail, greeting customers, and collaborating on projects. Titles include Receptionist and Administrative Assistant.","Ability & Aptitude, Biodata & Situational Judgement, Personality & Behavior",yes,no,Entry-Level,English (USA),35,https://www.shl.com/solutions/products/product-catalog/view/bank-administrative-assistant-short-form/
Bank Collections Agent - Short Form,"This assessment is for entry-level collections roles in financial call centers (inbound/outbound). It evaluates achievement orientation, dependability, numerical skills, revenue recovery, customer focus, persistence, and planfulness. Multiple configurations are available.","Ability & Aptitude, Biodata & Situational Judgement, Personality & Behavior, Simulations",yes,no,Entry-Level,English (USA),45,https://www.shl.com/solutions/products/product-catalog/view/bank-collections-agent-short-form/
Bank Operations Supervisor - Short Form,"This assessment targets entry-level leadership roles supervising hourly employees. It covers scheduling, task delegation, coaching, skill development, training, prioritization, and independent decision-making. Job titles include Team Leader, First Line Supervisor, Call Center Supervisor, etc. Multiple configurations are available.","Biodata & Situational Judgement, Personality & Behavior, Simulations, Ability & Aptitude",yes,no,"Front Line Manager, Manager, Supervisor",English (USA),45,https://www.shl.com/solutions/products/product-catalog/view/bank-operations-supervisor-short-form/
Bilingual Spanish Reservation Agent Solution,"Designed for entry-level, customer-centric roles in hospitality. Tasks include making, updating, or canceling reservations in English or Spanish, understanding Spanish conversations, and entering data in English. Suitable for roles like Bilingual Reservation Agent and Customer Service Rep. Multiple configurations available.","Personality & Behavior, Simulations, Knowledge & Skills, Biodata & Situational Judgement, Ability & Aptitude",yes,yes,Entry-Level,"English (USA), Latin American Spanish",43,https://www.shl.com/solutions/products/product-catalog/view/bilingual-spanish-reservation-agent-solution/
"Bookkeeping, Accounting, Auditing Clerk Short Form","Designed for entry-level roles involving financial data entry and record maintenance. Tasks include entering financial data, checking records for accuracy, and performing routine financial calculations. Suitable for roles such as Accounting Clerk, Bookkeeper, Auditing Clerk, and Accounts Receivable Clerk.","Ability & Aptitude, Biodata & Situational Judgement, Personality & Behavior",yes,yes,Entry-Level,English (USA),49,https://www.shl.com/solutions/products/product-catalog/view/bookkeeping-accounting-auditing-clerk-short-form/
